timestamp,source,elbow_joint_pos,elbow_joint_vel,shoulder_lift_joint_pos,shoulder_lift_joint_vel,shoulder_pan_joint_pos,shoulder_pan_joint_vel,wrist_1_joint_pos,wrist_1_joint_vel,wrist_2_joint_pos,wrist_2_joint_vel,wrist_3_joint_pos,wrist_3_joint_vel
442.242564,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.192463,-0.225303
442.250666,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.190526,-0.242547
442.258607,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.188528,-0.248315
442.266599,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.186532,-0.246946
442.274479,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.184573,-0.241740
442.282565,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.182669,-0.234828
442.290391,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.180821,-0.227794
442.298367,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.179025,-0.221458
442.306334,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.177273,-0.216326
442.314440,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.175555,-0.212321
442.322458,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.173861,-0.209493
442.330345,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.172183,-0.207663
442.338413,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.170515,-0.206672
442.346565,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.170515,-0.206672
442.354557,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.168850,-0.206247
442.362646,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.167187,-0.206101
442.370876,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.165518,-0.208638
442.378749,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.163679,-0.231392
442.386840,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.161740,-0.241662
442.394752,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.159775,-0.243663
442.402926,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.157828,-0.240637
442.410815,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.155922,-0.235219
442.418773,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.155922,-0.235219
442.426842,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.154066,-0.228909
442.434861,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.152259,-0.222909
442.442879,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.150490,-0.220143
442.450944,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.148587,-0.238552
442.458848,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.146612,-0.245612
442.466787,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.144632,-0.245129
442.474762,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.142684,-0.240588
442.482831,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.140784,-0.234246
442.490916,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.140784,-0.234246
442.498759,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.138938,-0.227672
442.506718,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.137142,-0.221544
442.514843,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.135383,-0.218916
442.522811,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.133489,-0.237454
442.530766,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.131522,-0.244644
442.538806,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.129546,-0.244710
442.546820,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.127600,-0.240273
442.554829,executed,2.164996,-0.000000,-1.566632,0.000000,-1.720260,-0.000000,-0.601239,-0.000000,1.410674,0.000000,3.125703,-0.234004
